## Data Flow Diagram
# label: CamperPlus DFD
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"source", "to":"id", "fromlabel":"flow", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;orthogonal=1;"}
# labels: {"label1" : "%flow%"}
# labelname: labeltype
# styles:{"process": "shape=ellipse;perimeter=ellipsePerimeter;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","externalEntity": "shape=rectangle;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","dataStore": "html=1;dashed=0;whiteSpace=wrap;shape=partialRectangle;right=0;left=0;"}
# stylename: type
# width: auto
# height: auto
# padding: 5
# ignore: id,refs
# nodespacing: 60
# levelspacing: 120
# edgespacing: 40
# layout: horizontal
id,label,type,source,flow
1,"Basic Data Entry User","externalEntity",,""
2,"Researcher","externalEntity",,""
3,"Archivist","externalEntity",,""
4,"ReadOnly User","externalEntity",,""
5,"Create Basic Archival Description","process","1","Basic Archival Description Information"
6,"Update Basic Archival Description","process","1","Basic Archival Description Information"
7,"View Finding Aid","process","2","Finding Aid Information"
8,"Import EAD Files (Archon)","process","3","EAD Files"
9,"Import EAD Files (Archivists' Toolkit)","process","3","EAD Files"
10,"View Archival Descriptions","process","4","Archival Descriptions"
11,"Basic Archival Description Information","dataStore","5,6",""
12,"Finding Aid Information","dataStore","7",""
13,"EAD Files","dataStore","8,9",""
14,"Archival Descriptions","dataStore","10",""
