## Data Flow Diagram
# label: CamperPlus DFD
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"source", "to":"id", "fromlabel":"flow", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;orthogonal=1;"}
# labels: {"label1" : "%flow%"}
# labelname: labeltype
# styles:{"process": "shape=ellipse;perimeter=ellipsePerimeter;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","externalEntity": "shape=rectangle;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","dataStore": "html=1;dashed=0;whiteSpace=wrap;shape=partialRectangle;right=0;left=0;"}
# stylename: type
# width: auto
# height: auto
# padding: 5
# ignore: id,refs
# nodespacing: 60
# levelspacing: 120
# edgespacing: 40
# layout: horizontal
id,label,type,source,flow
1,"Faculty Member","externalEntity",,""
2,"Repository Access","process","1","Access Request"
3,"Collection","dataStore","2","Research Materials"
4,"Faculty Member","externalEntity",,""
5,"Linking to Content","process","4","Link Request"
6,"Item","dataStore","5","Linked Content"
7,"Cornell Faculty Member","externalEntity",,""
8,"Data Upload","process","7","Data and Publication Association"
9,"Data Repository","dataStore","8","Uploaded Data"
10,"Publication","dataStore","8","Associated Publications"
11,"Patron","externalEntity",,""
12,"Report/Dataset Information","process","11","Information Request"
13,"Reports/Datasets","dataStore","12","Report/Dataset Information"
14,"Patron","externalEntity",,""
15,"Email Selection","process","14","Selection Request"
16,"Reports/Datasets","dataStore","15","Selected Report/Dataset"
