## Data Flow Diagram
# label: CamperPlus DFD
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"source", "to":"id", "fromlabel":"flow", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;orthogonal=1;"}
# labels: {"label1" : "%flow%"}
# labelname: labeltype
# styles:{"process": "shape=ellipse;perimeter=ellipsePerimeter;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","externalEntity": "shape=rectangle;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","dataStore": "html=1;dashed=0;whiteSpace=wrap;shape=partialRectangle;right=0;left=0;"}
# stylename: type
# width: auto
# height: auto
# padding: 5
# ignore: id,refs
# nodespacing: 60
# levelspacing: 120
# edgespacing: 40
# layout: horizontal
id,label,type,source,flow
1,"User","externalEntity",,""
2,"DAMS","externalEntity",,""
3,"Library Unit","externalEntity",,""
4,"Contact Repositories","process","1,2","Contact Request"
5,"DAMS Manager","externalEntity",,""
6,"List Collections and Objects","process","3","Collection and Object Information"
7,"List Formal Collections","process","5","Formal Collection Information"
8,"Browse by Collections","process","3,5","Collection and Object Information"
9,"Outcome Notification","process","5","Event Outcome"
10,"Collection and Object Information","dataStore","6,8","Collection and Object Data"
11,"Formal Collection Information","dataStore","7","Formal Collection Data"
12,"Event Outcome","dataStore","9","Outcome Data"
