## Data Flow Diagram
# label: CamperPlus DFD
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"source", "to":"id", "fromlabel":"flow", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;orthogonal=1;"}
# labels: {"label1" : "%flow%"}
# labelname: labeltype
# styles:{"process": "shape=ellipse;perimeter=ellipsePerimeter;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","externalEntity": "shape=rectangle;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","dataStore": "html=1;dashed=0;whiteSpace=wrap;shape=partialRectangle;right=0;left=0;"}
# stylename: type
# width: auto
# height: auto
# padding: 5
# ignore: id,refs
# nodespacing: 60
# levelspacing: 120
# edgespacing: 40
# layout: horizontal
id,label,type,source,flow
1,"Researchers","externalEntity",,""
2,"Electronic Support System","process","1","Data Sets"
3,"Data Sets Repository","dataStore","2","Data Sets"
4,"Post-Experiment Write-Ups","process","1","Write-Ups"
5,"Shared Write-Ups Repository","dataStore","4","Write-Ups"
6,"Data Collection","process","1","Collected Data"
7,"Library of Data","dataStore","6","Collected Data"
8,"Log Book Management","process","1","Experimental Data"
9,"Good/Bad Data Records","dataStore","8","Experimental Data"
10,"Standard Metadata Provision","process","1","Standard Metadata"
11,"Metadata Repository","dataStore","10","Standard Metadata"

