## Data Flow Diagram
# label: CamperPlus DFD
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"source", "to":"id", "fromlabel":"flow", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;orthogonal=1;"}
# labels: {"label1" : "%flow%"}
# labelname: labeltype
# styles:{"process": "shape=ellipse;perimeter=ellipsePerimeter;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","externalEntity": "shape=rectangle;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","dataStore": "html=1;dashed=0;whiteSpace=wrap;shape=partialRectangle;right=0;left=0;"}
# stylename: type
# width: auto
# height: auto
# padding: 5
# ignore: id,refs
# nodespacing: 60
# levelspacing: 120
# edgespacing: 40
# layout: horizontal
id,label,type,source,flow
1,"Stakeholder","externalEntity",,""
2,"User Researcher","externalEntity",,""
3,"Research Participant","externalEntity",,""
4,"User Research Plan","process","2","User Research Plan"
5,"OLPA Task Script","process","2","OLPA Task Script"
6,"Prototype","process","3","Prototype"
7,"WIG Prototype","process","2","WIG Prototype"
8,"CMS","dataStore","1","Results of User Research"
9,"User Interview Feedback","dataStore","2","User Interview Feedback"
10,"Prototype Feedback","dataStore","3","Prototype Feedback"
