## Data Flow Diagram
# label: CamperPlus DFD
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"source", "to":"id", "fromlabel":"flow", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;orthogonal=1;"}
# labels: {"label1" : "%flow%"}
# labelname: labeltype
# styles:{"process": "shape=ellipse;perimeter=ellipsePerimeter;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","externalEntity": "shape=rectangle;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","dataStore": "html=1;dashed=0;whiteSpace=wrap;shape=partialRectangle;right=0;left=0;"}
# stylename: type
# width: auto
# height: auto
# padding: 5
# ignore: id,refs
# nodespacing: 60
# levelspacing: 120
# edgespacing: 40
# layout: horizontal
id,label,type,source,flow
1,"Anonymous User","externalEntity",,""
2,"Training Coordinator","externalEntity",,""
3,"Attendee","externalEntity",,""
4,"Trainer","externalEntity",,""
5,"View List of Sponsors","process","1","Sponsor Information"
6,"Sponsor Information","dataStore","5","Sponsor Information"
7,"View User Profiles","process","1","User Profile Information"
8,"User Profiles","dataStore","7","User Profile Information"
9,"Email Trainers","process","2","Training Updates"
10,"Trainer Information","dataStore","9,4","Trainer Email Addresses,Training Updates"
11,"Access Conference Map","process","3","Building and Room Locations"
12,"Conference Map","dataStore","11","Building and Room Locations"
13,"Edit Training Node","process","4","Training Node Updates"
14,"Training Nodes","dataStore","13","Training Node Information"
