## Data Flow Diagram
# label: CamperPlus DFD
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"source", "to":"id", "fromlabel":"flow", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;orthogonal=1;"}
# labels: {"label1" : "%flow%"}
# labelname: labeltype
# styles:{"process": "shape=ellipse;perimeter=ellipsePerimeter;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","externalEntity": "shape=rectangle;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","dataStore": "html=1;dashed=0;whiteSpace=wrap;shape=partialRectangle;right=0;left=0;"}
# stylename: type
# width: auto
# height: auto
# padding: 5
# ignore: id,refs
# nodespacing: 60
# levelspacing: 120
# edgespacing: 40
# layout: horizontal
id,label,type,source,flow
1,"Parent","externalEntity",,""
2,"Child's Counselor","externalEntity",,""
3,"Camp Administrator","externalEntity",,""
4,"Message System","process","1,2","Messages"
5,"Messages","dataStore","4","Messages"
6,"Photo Sharing System","process","1","Photos"
7,"Camp Photos","dataStore","6","Photos"
8,"Bi-weekly Feedback System","process","3","Feedback to Parents"
9,"Parental Feedback System","process","1","Parent Feedback"
10,"Feedback and Concerns","dataStore","8,9","Feedback to/from Parents"
11,"Notification System","process","3","Notifications"
12,"Event and Notice Information","dataStore","11","Notifications"
