## Data Flow Diagram
# label: CamperPlus DFD
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"source", "to":"id", "fromlabel":"flow", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;orthogonal=1;"}
# labels: {"label1" : "%flow%"}
# labelname: labeltype
# styles:{"process": "shape=ellipse;perimeter=ellipsePerimeter;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","externalEntity": "shape=rectangle;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","dataStore": "html=1;dashed=0;whiteSpace=wrap;shape=partialRectangle;right=0;left=0;"}
# stylename: type
# width: auto
# height: auto
# padding: 5
# ignore: id,refs
# nodespacing: 60
# levelspacing: 120
# edgespacing: 40
# layout: horizontal
id,label,type,source,flow
1,"Public User","externalEntity",,"Search for Information"
2,"Applicant","externalEntity",,"Request Pre-Application Assistance,Submit Application"
3,"Search for Information","process","1","Public Information"
4,"Request Pre-Application Assistance","process","2","Pre-Application Assistance Response"
5,"Submit Application","process","2","Application Information"
6,"Perform a Completeness Review","process","Staff","Completeness Review Outcome"
7,"Send a Formal Response","process","Staff","Formal Response to Applicant"
8,"Public Information","dataStore","3",""
9,"Pre-Application Assistance Response","dataStore","4",""
10,"Application Information","dataStore","5","Completeness Review,Formal Response"
11,"Staff","externalEntity","6,7","Completeness Review,Formal Response"
