## Data Flow Diagram
# label: CamperPlus DFD
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"source", "to":"id", "fromlabel":"flow", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;orthogonal=1;"}
# labels: {"label1" : "%flow%"}
# labelname: labeltype
# styles:{"process": "shape=ellipse;perimeter=ellipsePerimeter;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","externalEntity": "shape=rectangle;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","dataStore": "html=1;dashed=0;whiteSpace=wrap;shape=partialRectangle;right=0;left=0;"}
# stylename: type
# width: auto
# height: auto
# padding: 5
# ignore: id,refs
# nodespacing: 60
# levelspacing: 120
# edgespacing: 40
# layout: horizontal
id,label,type,source,flow
1,"Researchers","externalEntity",,
2,"Track Data Lineage","process","1","Data Lineage Information"
3,"Experiment Data Sets","dataStore","2","Data Lineage Information"
4,"Share Post-Experiment Write-Ups","process","1","Post-Experiment Insights"
5,"Post-Experiment Write-Ups","dataStore","4","Post-Experiment Insights"
6,"Other Researchers","externalEntity","4","Post-Experiment Insights"
7,"Collect Data","process","1","Collected Data"
8,"Data Library","dataStore","7","Collected Data"
9,"Evaluate Data Quality","process","1","Data Quality Evaluation"
10,"Provide Metadata Standard","process","1","Metadata Standards"
11,"Metadata Standards","dataStore","10","Metadata Standards"
