## Data Flow Diagram
# label: CamperPlus DFD
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"source", "to":"id", "fromlabel":"flow", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;orthogonal=1;"}
# labels: {"label1" : "%flow%"}
# labelname: labeltype
# styles:{"process": "shape=ellipse;perimeter=ellipsePerimeter;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","externalEntity": "shape=rectangle;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","dataStore": "html=1;dashed=0;whiteSpace=wrap;shape=partialRectangle;right=0;left=0;"}
# stylename: type
# width: auto
# height: auto
# padding: 5
# ignore: id,refs
# nodespacing: 60
# levelspacing: 120
# edgespacing: 40
# layout: horizontal
id,label,type,source,flow
1,"Stakeholder","externalEntity",,"Results of User Research"
2,"User Researcher","externalEntity",,"Test User Research Plan,Finalized OLPA Task Script,WIG Prototype"
3,"Research Participant","externalEntity",,"Appearance Feedback"
4,"Results of User Research","dataStore","5",""
5,"Analyze User Research","process","2","Results of User Research"
6,"Test User Research Plan","process","2","Effectiveness Feedback"
7,"Finalize OLPA Task Script","process","2","OLPA Task Script"
8,"Finalize Second Task Script","process","2","Second Task Script"
9,"OLPA Task Script","dataStore","7",""
10,"WIG Prototype","dataStore","8","Prototype Appearance"
11,"Second Task Script","dataStore","8",""
12,"Effectiveness Feedback","dataFlow","6","User Researcher"
13,"Prototype Appearance","dataFlow","3","Research Participant"
14,"Appearance Feedback","dataFlow","3","Test User Research Plan"
