## Data Flow Diagram
# label: CamperPlus DFD
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"source", "to":"id", "fromlabel":"flow", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;orthogonal=1;"}
# labels: {"label1" : "%flow%"}
# labelname: labeltype
# styles:{"process": "shape=ellipse;perimeter=ellipsePerimeter;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","externalEntity": "shape=rectangle;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","dataStore": "html=1;dashed=0;whiteSpace=wrap;shape=partialRectangle;right=0;left=0;"}
# stylename: type
# width: auto
# height: auto
# padding: 5
# ignore: id,refs
# nodespacing: 60
# levelspacing: 120
# edgespacing: 40
# layout: horizontal
id,label,type,source,flow
1,"Data Consuming User","externalEntity",,"Download Image,Share Image"
2,"Data Publishing User","externalEntity",,"Add Dataset,Edit Dataset,Delete Dataset"
3,"Download Image","process","1","Image File"
4,"Share Image","process","1","Social Network"
5,"Add Dataset","process","2","Dataset Storage"
6,"Edit Dataset","process","2","Dataset Storage"
7,"Delete Dataset","process","2","Dataset Storage"
8,"Image File","dataStore","3",""
9,"Dataset Storage","dataStore","5,6,7",""
10,"Social Network","externalEntity","4",""
