## Data Flow Diagram
# label: CamperPlus DFD
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"source", "to":"id", "fromlabel":"flow", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;orthogonal=1;"}
# labels: {"label1" : "%flow%"}
# labelname: labeltype
# styles:{"process": "shape=ellipse;perimeter=ellipsePerimeter;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","externalEntity": "shape=rectangle;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","dataStore": "html=1;dashed=0;whiteSpace=wrap;shape=partialRectangle;right=0;left=0;"}
# stylename: type
# width: auto
# height: auto
# padding: 5
# ignore: id,refs
# nodespacing: 60
# levelspacing: 120
# edgespacing: 40
# layout: horizontal
id,label,type,source,flow
1,"Basic Data Entry User","externalEntity",,""
2,"Create/Update Archival Description","process","1","Basic Archival Description Information"
3,"Archival Description Information","dataStore","2","Basic Archival Description Information"
4,"Researcher","externalEntity",,""
5,"View Finding Aid","process","4","Finding Aid"
6,"Finding Aid","dataStore","5","Finding Aid"
7,"Archivist","externalEntity",,""
8,"Import EAD files (Archon)","process","7","EAD Files (Archon)"
9,"EAD Files (Archon)","dataStore","8","EAD Files (Archon)"
10,"Import EAD files (AT)","process","7","EAD Files (AT)"
11,"EAD Files (AT)","dataStore","10","EAD Files (AT)"
12,"ReadOnly User","externalEntity",,""
13,"View Archival Descriptions","process","12","Archival Descriptions"
14,"Archival Descriptions","dataStore","13","Archival Descriptions"
