## Data Flow Diagram
# label: CamperPlus DFD
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"source", "to":"id", "fromlabel":"flow", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;orthogonal=1;"}
# labels: {"label1" : "%flow%"}
# labelname: labeltype
# styles:{"process": "shape=ellipse;perimeter=ellipsePerimeter;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","externalEntity": "shape=rectangle;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","dataStore": "html=1;dashed=0;whiteSpace=wrap;shape=partialRectangle;right=0;left=0;"}
# stylename: type
# width: auto
# height: auto
# padding: 5
# ignore: id,refs
# nodespacing: 60
# levelspacing: 120
# edgespacing: 40
# layout: horizontal
id,label,type,source,flow
1,"Public User","externalEntity",,"
2,"Search for Information","process","1","Public User"
3,"Search Results","dataStore","2","Public User"
4,"Applicant","externalEntity",,"
5,"Request Pre-Application Assistance","process","4","Applicant"
6,"Pre-Application Assistance Response","dataStore","5","Applicant"
7,"Submit Application","process","4","Applicant"
8,"Application Receipt","dataStore","7","Applicant"
9,"Staff Member","externalEntity",,"
10,"Perform Completeness Review","process","9","Staff Member"
11,"Application Status","dataStore","10","Staff Member"
12,"Send Formal Response to Applicant","process","11","Staff Member"
13,"Formal Response","dataStore","12","Staff Member"
