## Data Flow Diagram
# label: CamperPlus DFD
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"source", "to":"id", "fromlabel":"flow", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;orthogonal=1;"}
# labels: {"label1" : "%flow%"}
# labelname: labeltype
# styles:{"process": "shape=ellipse;perimeter=ellipsePerimeter;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","externalEntity": "shape=rectangle;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","dataStore": "html=1;dashed=0;whiteSpace=wrap;shape=partialRectangle;right=0;left=0;"}
# stylename: type
# width: auto
# height: auto
# padding: 5
# ignore: id,refs
# nodespacing: 60
# levelspacing: 120
# edgespacing: 40
# layout: horizontal
id,label,type,source,flow
1,"Collection Curator","externalEntity",,""
2,"Set Data Expiration Date","process","1","Collection Curator"
3,"Scheduled Records Deletion Date Display","process","2","Collection Curator"
4,"Repository Manager","externalEntity",,""
5,"Track Financial Responsibility","process","4","Repository Manager"
6,"Storage Consumption Report","process","5","Repository Manager"
7,"Map Items Across Collections","process","1,3,6","Collection Curator,Repository Manager"
8,"Item Mapping Data Store","dataStore","7","Item Mapping"
9,"Financial Contacts Data Store","dataStore","5","Financial Contacts"
10,"Storage Consumption Data Store","dataStore","6","Storage Consumption"
11,"Scheduled Deletion Date Data Store","dataStore","3","Scheduled Deletion Date"
