## Data Flow Diagram
# label: CamperPlus DFD
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"source", "to":"id", "fromlabel":"flow", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;orthogonal=1;"}
# labels: {"label1" : "%flow%"}
# labelname: labeltype
# styles:{"process": "shape=ellipse;perimeter=ellipsePerimeter;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","externalEntity": "shape=rectangle;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","dataStore": "html=1;dashed=0;whiteSpace=wrap;shape=partialRectangle;right=0;left=0;"}
# stylename: type
# width: auto
# height: auto
# padding: 5
# ignore: id,refs
# nodespacing: 60
# levelspacing: 120
# edgespacing: 40
# layout: horizontal
id,label,type,source,flow
1,"Experiments","externalEntity",,""
2,"Data Collection","process","1","Experimental Data"
3,"Data Library","dataStore","2","Experimental Data"
4,"Data Analysis","process","3","Analyzed Data"
5,"Data Quality Assessment","process","4","Good/Bad Data"
6,"Data Hiding","process","5","Bad Data"
7,"Data Log Book","dataStore","6","Log Book Entries"
8,"Data Sharing","process","7","Shared Data"
9,"Data Standardization","process","8","Standard Metadata"
10,"Cross-Disciplinary Research","process","9","Research Collaboration"
