## Data Flow Diagram
# label: CamperPlus DFD
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"source", "to":"id", "fromlabel":"flow", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;orthogonal=1;"}
# labels: {"label1" : "%flow%"}
# labelname: labeltype
# styles:{"process": "shape=ellipse;perimeter=ellipsePerimeter;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","externalEntity": "shape=rectangle;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","dataStore": "html=1;dashed=0;whiteSpace=wrap;shape=partialRectangle;right=0;left=0;"}
# stylename: type
# width: auto
# height: auto
# padding: 5
# ignore: id,refs
# nodespacing: 60
# levelspacing: 120
# edgespacing: 40
# layout: horizontal
id,label,type,source,flow
1,"Data Consuming User","externalEntity",,
2,"Download Image","process",1,"Image Request"
3,"Image Request","dataStore",2,"Image"
4,"Share Image","process",1,"Social Network"
5,"Social Network","externalEntity",,
6,"Data Publishing User","externalEntity",,
7,"Add Dataset (Hidden)","process",6,"Dataset"
8,"Dataset (Hidden)","dataStore",7,"Dataset"
9,"Edit Dataset","process",6,"Dataset"
10,"Dataset (Edited)","dataStore",9,"Dataset"
11,"Delete Dataset","process",6,"Dataset"
12,"Dataset (Deleted)","dataStore",11,"Dataset"
