## Data Flow Diagram
# label: CamperPlus DFD
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"source", "to":"id", "fromlabel":"flow", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;orthogonal=1;"}
# labels: {"label1" : "%flow%"}
# labelname: labeltype
# styles:{"process": "shape=ellipse;perimeter=ellipsePerimeter;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","externalEntity": "shape=rectangle;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","dataStore": "html=1;dashed=0;whiteSpace=wrap;shape=partialRectangle;right=0;left=0;"}
# stylename: type
# width: auto
# height: auto
# padding: 5
# ignore: id,refs
# nodespacing: 60
# levelspacing: 120
# edgespacing: 40
# layout: horizontal
id,label,type,source,flow
1,"Archivist","externalEntity",,"
2,"Apply License/Rights Statement","process","1","File Metadata"
3,"File Metadata","dataStore","2","License/Rights Statement"
4,"Restrict File","process","1","File Metadata"
5,"Restricted Files","dataStore","4","File Metadata"
6,"Set Restriction End Date","process","1","File Metadata"
7,"Remove Restrictions","process","6","File Metadata"
8,"IP Address Restriction","process","1","File Metadata"
9,"Reading Room Access","dataStore","8","File Metadata"
10,"Scan Photo","process","1","Photo Metadata"
11,"License Photo","process","10","Photo Metadata"
12,"Photo Metadata","dataStore","11","Licensed Photos"
