## Data Flow Diagram
# label: CamperPlus DFD
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"source", "to":"id", "fromlabel":"flow", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;orthogonal=1;"}
# labels: {"label1" : "%flow%"}
# labelname: labeltype
# styles:{"process": "shape=ellipse;perimeter=ellipsePerimeter;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","externalEntity": "shape=rectangle;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","dataStore": "html=1;dashed=0;whiteSpace=wrap;shape=partialRectangle;right=0;left=0;"}
# stylename: type
# width: auto
# height: auto
# padding: 5
# ignore: id,refs
# nodespacing: 60
# levelspacing: 120
# edgespacing: 40
# layout: horizontal
id,label,type,source,flow
1,"OlderPerson","externalEntity",,""
2,"Falls Detection","process","1","Fall Event"
3,"Emergency Notification","process","2","Emergency Contact Info"
4,"Medicine Reminder","process","1","Reminder Time"
5,"Medicine Intake","process","1,4","Medicine Intake Confirmation"
6,"Medical Caregiver","externalEntity",,""
7,"Medicine Status","dataStore","5","Medicine Status"
8,"Healthy Recipe Suggestion","process","1","User Preferences"
9,"Location Tracking","process","1","Location Data"
10,"Caregiver Location Request","process","6","Caregiver ID"
11,"Location Data","dataStore","9,10","Location Data"
