## Data Flow Diagram
# label: CamperPlus DFD
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"source", "to":"id", "fromlabel":"flow", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;orthogonal=1;"}
# labels: {"label1" : "%flow%"}
# labelname: labeltype
# styles:{"process": "shape=ellipse;perimeter=ellipsePerimeter;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","externalEntity": "shape=rectangle;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","dataStore": "html=1;dashed=0;whiteSpace=wrap;shape=partialRectangle;right=0;left=0;"}
# stylename: type
# width: auto
# height: auto
# padding: 5
# ignore: id,refs
# nodespacing: 60
# levelspacing: 120
# edgespacing: 40
# layout: horizontal
id,label,type,source,flow
1,"Anonymous User","externalEntity",,""
2,"View List of Sponsors","process","1","List of Sponsors"
3,"List of Sponsors","dataStore","2","Sponsor Information"
4,"View List of User Profiles","process","1","List of User Profiles"
5,"List of User Profiles","dataStore","4","User Profile Information"
6,"Training Coordinator","externalEntity",,""
7,"Email Trainers","process","6","Trainer Email List"
8,"Trainer Email List","dataStore","7","Trainer Information"
9,"Attendee","externalEntity",,""
10,"View Map","process","9","Conference Map"
11,"Conference Map","dataStore","10","Map Information"
12,"Trainer","externalEntity",,""
13,"Edit Training Node","process","12","Training Node Information"
14,"Training Node Information","dataStore","13","Training Node Details"
