## Data Flow Diagram
# label: CamperPlus DFD
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"source", "to":"id", "fromlabel":"flow", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;orthogonal=1;"}
# labels: {"label1" : "%flow%"}
# labelname: labeltype
# styles:{"process": "shape=ellipse;perimeter=ellipsePerimeter;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","externalEntity": "shape=rectangle;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","dataStore": "html=1;dashed=0;whiteSpace=wrap;shape=partialRectangle;right=0;left=0;"}
# stylename: type
# width: auto
# height: auto
# padding: 5
# ignore: id,refs
# nodespacing: 60
# levelspacing: 120
# edgespacing: 40
# layout: horizontal
id,label,type,source,flow
1,"Faculty Member","externalEntity",,""
2,"Access Collection","process","1","Repository Collection"
3,"Repository Collection","dataStore","2","Repository Contents, Linked Item"
4,"Direct Students to Item","process","1","Linked Item"
5,"Upload Data","process","1","Data, Publication"
6,"Associate Data with Publication","process","5","Publication Data"
7,"Repository","dataStore","2,4,6","Repository Contents"
8,"New Reports/Datasets Notification","process","7","Upcoming Reports/Datasets"
9,"Patron","externalEntity",,""
10,"Select/Deselect Reports/Datasets","process","9","Selected Reports/Datasets"
11,"Email Notifications","process","10","New Versions of Selected Reports/Datasets"
12,"Email List","dataStore","11","Patron Email Addresses"
