## Data Flow Diagram
# label: CamperPlus DFD
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"source", "to":"id", "fromlabel":"flow", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;orthogonal=1;"}
# labels: {"label1" : "%flow%"}
# labelname: labeltype
# styles:{"process": "shape=ellipse;perimeter=ellipsePerimeter;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","externalEntity": "shape=rectangle;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","dataStore": "html=1;dashed=0;whiteSpace=wrap;shape=partialRectangle;right=0;left=0;"}
# stylename: type
# width: auto
# height: auto
# padding: 5
# ignore: id,refs
# nodespacing: 60
# levelspacing: 120
# edgespacing: 40
# layout: horizontal
id,label,type,source,flow
1,"User","externalEntity",,""
2,"List Collections & Objects","process","1",""
3,"Library Unit Details","dataStore","2","Collection & Object Info"
4,"DAMS Repositories","externalEntity",,""
5,"Contact Repositories","process","4","Communication Info"
6,"Formal Collection Listing","process","1","Relationship Info"
7,"Browse Collections","process","1","6,8"
8,"Specified Collection Limit","process","7","Limited Search Results"
9,"DAmS Manager","externalEntity",,""
10,"Monitor Events","process","9","Event Outcome"
