## Data Flow Diagram
# label: CamperPlus DFD
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"source", "to":"id", "fromlabel":"flow", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;orthogonal=1;"}
# labels: {"label1" : "%flow%"}
# labelname: labeltype
# styles:{"process": "shape=ellipse;perimeter=ellipsePerimeter;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","externalEntity": "shape=rectangle;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","dataStore": "html=1;dashed=0;whiteSpace=wrap;shape=partialRectangle;right=0;left=0;"}
# stylename: type
# width: auto
# height: auto
# padding: 5
# ignore: id,refs
# nodespacing: 60
# levelspacing: 120
# edgespacing: 40
# layout: horizontal
id,label,type,source,flow
1,"Depositor","externalEntity",,""
2,"Link datasets to publications","process","1","Datasets, Publications"
3,"Datasets","dataStore","2","Datasets"
4,"Privileged access to datasets","process","1","Access Permissions"
5,"Collaborators","externalEntity","4","Access Permissions"
6,"Deposit data from facility","process","1","Facility Data"
7,"Research Facility Manager","externalEntity","6","Facility Data"
8,"Deposit and maintain datasets via API","process","1","Datasets"
9,"Developer","externalEntity","8","Datasets"
10,"Gain privileged access to data","process","5","Access Permissions"
